,Accuracy,Precision,Recall,F1-Score
Full Features (561),0.9548693586698337,0.9566079881897819,0.9548693586698337,0.9547920344769937
PCA (102),0.9307770614183916,0.9313255581444637,0.9307770614183916,0.9305997132020263
RF Selected (102),0.9300984051577876,0.9320862118180163,0.9300984051577876,0.9299840263718293
